date	n_day	regime	inoculant	treatment	sample	shoot_side_area	shoot_height
11/06/25	6	NW	MIXR	NW_MIXR	7	260.4931607	119.0583454
11/06/25	6	NW	MIXR	NW_MIXR	8	309.0768926	158.1855011
12/06/25	7	NW	MIXR	NW_MIXR	1	305.7963191	145.6089154
12/06/25	7	NW	MIXR	NW_MIXR	2	313.5290996	176.0722009
12/06/25	7	NW	MIXR	NW_MIXR	3	239.4818683	148.6831919
12/06/25	7	NW	MIXR	NW_MIXR	4	274.3184349	140.2988014
12/06/25	7	NW	MIXR	NW_MIXR	5	298.2197564	149.8011106
12/06/25	7	NW	MIXR	NW_MIXR	6	439.5968541	174.1158431
12/06/25	7	NW	MIXR	NW_MIXR	7	450.2196637	188.9282664
12/06/25	7	NW	MIXR	NW_MIXR	8	338.6801634	153.1548668
13/06/25	8	NW	MIXR	NW_MIXR	1	380.9370749	208.7713239
13/06/25	8	NW	MIXR	NW_MIXR	2	370.9391365	189.4872258
13/06/25	8	NW	MIXR	NW_MIXR	3	342.5074992	197.0331772
13/06/25	8	NW	MIXR	NW_MIXR	4	449.9072281	181.1028352
13/06/25	8	NW	MIXR	NW_MIXR	5	310.0141994	179.4259571
13/06/25	8	NW	MIXR	NW_MIXR	6	371.7202254	188.9282664
13/06/25	8	NW	MIXR	NW_MIXR	7	470.9966294	222.7453081
13/06/25	8	NW	MIXR	NW_MIXR	8	511.6132542	202.9022506
14/06/25	9	NW	MIXR	NW_MIXR	1	356.7233178	196.7536975
14/06/25	9	NW	MIXR	NW_MIXR	2	419.6790862	207.9328849
14/06/25	9	NW	MIXR	NW_MIXR	3	357.9730601	216.0377957
14/06/25	9	NW	MIXR	NW_MIXR	4	401.9483673	164.3340542
14/06/25	9	NW	MIXR	NW_MIXR	5	359.6133469	199.5484944
14/06/25	9	NW	MIXR	NW_MIXR	6	474.980183	202.3432912
14/06/25	9	NW	MIXR	NW_MIXR	7	500.6780091	247.8984797
14/06/25	9	NW	MIXR	NW_MIXR	8	574.1003692	274.16957
15/06/25	10	NW	MIXR	NW_MIXR	1	381.9524905	207.0944458
15/06/25	10	NW	MIXR	NW_MIXR	2	441.7839032	166.5698917
15/06/25	10	NW	MIXR	NW_MIXR	3	324.9329981	264.1083014
15/06/25	10	NW	MIXR	NW_MIXR	4	493.8044264	264.3877811
15/06/25	10	NW	MIXR	NW_MIXR	5	397.3399426	215.1993567
15/06/25	10	NW	MIXR	NW_MIXR	6	476.8547965	245.3831626
15/06/25	10	NW	MIXR	NW_MIXR	7	525.0479839	265.2262201
15/06/25	10	NW	MIXR	NW_MIXR	8	541.6851783	277.5233262
