date	n_day	treatment	sample	tot_length	tot_area	Area_Efficiency
20/06/25	10	WW_MIX1	2	579.1334094	506.189857	1.144103149
20/06/25	10	WW_MIX1	3	597.6054732	563.7451235	1.060063224
20/06/25	10	WW_MIX1	4	567.1607754	501.2873862	1.131408432
20/06/25	10	WW_MIX1	5	457.1265678	386.1118336	1.183922708
20/06/25	10	WW_MIX1	6	581.8700114	503.4720416	1.155714644
20/06/25	10	WW_MIXR	1	313.7970353	243.1209363	1.290703467
20/06/25	10	WW_MIXR	2	400.3420753	311.8205462	1.283886133
20/06/25	10	WW_MIXR	3	554.8460661	456.3459038	1.215845396
20/06/25	10	WW_MIXR	4	545.1539339	477.373212	1.141986857
20/06/25	10	WW_MIXR	5	478.677309	386.5669701	1.23827783
20/06/25	10	WW_MIXR	6	804.3329532	690.3381014	1.165129017
20/06/25	10	NW_NOI	1	860.5473204	793.4590377	1.084551665
20/06/25	10	NW_NOI	2	624.9714937	568.023407	1.100256584
20/06/25	10	NW_NOI	3	737.7423033	627.6072822	1.175483976
20/06/25	10	NW_NOI	4	863.1698974	766.2028609	1.126555305
20/06/25	10	NW_NOI	5	759.0649943	715.2405722	1.061272282
20/06/25	10	NW_NOI	6	382.0980616	363.159948	1.052148134
20/06/25	10	NW_MIX1	1	594.5267959	567.0091027	1.048531308
20/06/25	10	NW_MIX1	2	772.1778791	706.7360208	1.092597316
20/06/25	10	NW_MIX1	3	895.6670468	821.4694408	1.090323026
20/06/25	10	NW_MIX1	4	656.1003421	607.0871261	1.080735061
20/06/25	10	NW_MIX1	5	931.1288483	888.1274382	1.048418063
20/06/25	10	NW_MIX1	6	858.3808438	784.3302991	1.094412449
20/06/25	10	NW_MIXR	1	402.1664766	346.3719116	1.161082822
20/06/25	10	NW_MIXR	2	780.04561	710.8712614	1.097309249
20/06/25	10	NW_MIXR	3	648.2326112	550.8192458	1.176851782
20/06/25	10	NW_MIXR	4	892.7023945	819.3758127	1.089490781
20/06/25	10	NW_MIXR	5	638.4264538	563.4070221	1.133153171
20/06/25	10	NW_MIXR	6	769.6693273	717.9713914	1.072005565
21/06/25	11	WW_NOI	1	392.5883694	338.1404421	1.161021636
21/06/25	11	WW_NOI	2	551.1972634	451.1313394	1.221811068
21/06/25	11	WW_NOI	3	518.3580388	412.4447334	1.256793933
21/06/25	11	WW_NOI	4	562.0296465	474.2782835	1.185020833
21/06/25	11	WW_NOI	5	549.372862	480.7412224	1.142762127
21/06/25	11	WW_NOI	6	858.9509692	809.8179454	1.060671691
21/06/25	11	WW_MIX1	1	660.3192702	577.5422627	1.143326321
21/06/25	11	WW_MIX1	2	652.1094641	567.1521456	1.149796345
21/06/25	11	WW_MIX1	3	629.6465222	583.3289987	1.079402059
21/06/25	11	WW_MIX1	4	597.7194983	537.7373212	1.111545498
21/06/25	11	WW_MIX1	5	501.4823261	416.0728218	1.205275374
21/06/25	11	WW_MIX1	6	650.0570125	544.1612484	1.194603648
21/06/25	11	WW_MIXR	1	351.3112885	271.9115735	1.292005647
21/06/25	11	WW_MIXR	2	441.5051311	353.7191157	1.248180015
21/06/25	11	WW_MIXR	3	620.5245154	504.6814044	1.22953711
21/06/25	11	WW_MIXR	4	585.290764	515.2925878	1.135841613
21/06/25	11	WW_MIXR	5	549.6009122	434.343303	1.265360622
21/06/25	11	WW_MIXR	6	879.1334094	748.0624187	1.175213976
21/06/25	11	NW_NOI	1	927.0239453	864.0182055	1.072921773
21/06/25	11	NW_NOI	2	694.4127708	622.9648895	1.114690061
21/06/25	11	NW_NOI	3	785.6328392	672.3146944	1.168549261
21/06/25	11	NW_NOI	4	950.1710376	836.9570871	1.135268525
21/06/25	11	NW_NOI	5	825.1995439	774.1872562	1.065891407
21/06/25	11	NW_NOI	6	445.381984	412.2106632	1.080471768
21/06/25	11	NW_MIX1	1	632.7251995	602.0546164	1.050943191
21/06/25	11	NW_MIX1	2	843.2155074	769.9479844	1.095159056
21/06/25	11	NW_MIX1	3	928.6202965	857.3211964	1.08316498
21/06/25	11	NW_MIX1	4	711.0604333	653.7971391	1.087585722
21/06/25	11	NW_MIX1	5	978.2212087	935.5396619	1.045622381
21/06/25	11	NW_MIX1	6	931.2428734	850.6371912	1.094759179
21/06/25	11	NW_MIXR	1	469.5553022	399.1937581	1.176259129
21/06/25	11	NW_MIXR	2	812.8848347	741.3524057	1.096489103
21/06/25	11	NW_MIXR	3	679.2474344	580.3120936	1.170486436
21/06/25	11	NW_MIXR	4	919.1562144	843.1859558	1.090099056
