date	n_day	regime	inoculant	treatment	shoot_side_area	shoot_height	shootA_rootA
16/06/25	6	WW	MIX1	WW_MIX1	426.180804	126.623536	0.801353447
16/06/25	6	WW	MIXR	WW_MIXR	414.6721621	120.6224205	0.330591582
16/06/25	6	WW	MIXR	WW_MIXR	387.6832687	98.41829337	0.574718748
16/06/25	6	WW	MIXR	WW_MIXR	226.4720189	76.51422198	1.398278705
16/06/25	6	WW	MIXR	WW_MIXR	369.5176673	104.4194088	0.905091593
16/06/25	6	WW	MIXR	WW_MIXR	288.6412509	87.76631345	0.86153175
16/06/25	6	WW	MIXR	WW_MIXR	345.7557068	120.3223648	1.322633824
16/06/25	6	NW	NOI	NW_NOI	292.8610862	92.26715003	1.707427293
16/06/25	6	NW	NOI	NW_NOI	216.8363521	80.56497491	1.511150223
16/06/25	6	NW	NOI	NW_NOI	240.4177849	102.3190184	1.192224568
16/06/25	6	NW	NOI	NW_NOI	259.1701013	102.4690463	1.802040853
16/06/25	6	NW	NOI	NW_NOI	286.9488035	96.61795873	1.670234466
16/06/25	6	NW	NOI	NW_NOI	260.7045869	94.8176241	0.829401858
16/06/25	6	NW	MIX1	NW_MIX1	241.2527256	86.56609036	1.653376821
16/06/25	6	NW	MIX1	NW_MIX1	283.7895685	107.4199665	1.642364193
16/06/25	6	NW	MIX1	NW_MIX1	268.264185	112.9709983	2.120408468
16/06/25	6	NW	MIX1	NW_MIX1	244.3216968	91.66703849	1.595670634
16/06/25	6	NW	MIX1	NW_MIX1	316.6004808	103.3692136	1.679702245
16/06/25	6	NW	MIX1	NW_MIX1	244.6601862	72.76352482	1.95977879
16/06/25	6	NW	MIXR	NW_MIXR	231.7750205	54.31009482	0.769321441
16/06/25	6	NW	MIXR	NW_MIXR	216.90405	75.163971	2.545215823
16/06/25	6	NW	MIXR	NW_MIXR	182.3104265	73.81372003	2.277799399
16/06/25	6	NW	MIXR	NW_MIXR	227.7808448	75.163971	2.566516873
16/06/25	6	NW	MIXR	NW_MIXR	256.1462621	103.0691578	1.486573456
16/06/25	6	NW	MIXR	NW_MIXR	294.3730058	98.26826548	1.726399675
17/06/25	7	WW	NOI	WW_NOI	496.7897067	146.5772448	0.626519371
17/06/25	7	WW	NOI	WW_NOI	350.6299551	82.66536531	1.015078061
17/06/25	7	WW	NOI	WW_NOI	496.9702344	127.0736196	0.6277571
17/06/25	7	WW	NOI	WW_NOI	547.1795052	135.775237	0.655994387
17/06/25	7	WW	NOI	WW_NOI	442.1800728	141.0262131	0.763300464
17/06/25	7	WW	NOI	WW_NOI	235.2501791	30.30563302	2.976827021
17/06/25	7	WW	MIX1	WW_MIX1	614.1327216	145.9771333	0.7158858
17/06/25	7	WW	MIX1	WW_MIX1	474.7653254	148.5276074	0.862790236
17/06/25	7	WW	MIX1	WW_MIX1	493.8335653	115.6715003	0.997898631
17/06/25	7	WW	MIX1	WW_MIX1	698.1458072	158.4294479	0.483912313
17/06/25	7	WW	MIX1	WW_MIX1	545.396794	144.7769102	0.557044241
17/06/25	7	WW	MIX1	WW_MIX1	609.2584733	146.7272727	0.690216344
17/06/25	7	WW	MIXR	WW_MIXR	621.7600176	135.4751813	0.256978463
17/06/25	7	WW	MIXR	WW_MIXR	505.5678668	110.5705522	0.503444491
17/06/25	7	WW	MIXR	WW_MIXR	284.0152282	112.5209147	1.169052134
